   1+( 1)  8.430    2+( 3)  8.072  0.358    114.4( 22.6)     68.6( 13.6)
   2+( 4)  8.490    0+( 1)  0.000  8.491      1.5(  0.3)      7.3(  1.4)
   2+( 4)  8.490    2+( 1)  1.940  6.550      0.0(  0.0)      0.0(  0.0)
   2+( 4)  8.490    4+( 1)  4.548  3.942      3.3(  0.6)      1.8(  0.4)
   2+( 4)  8.490    0+( 2)  4.821  3.669      0.9(  0.2)      4.7(  0.9)
   2+( 4)  8.490    3+( 1)  6.459  2.031      1.8(  0.4)      1.3(  0.3)
   2+( 4)  8.490    4+( 2)  7.068  1.422      0.0(  0.0)      0.0(  0.0)
   2+( 4)  8.490    0+( 3)  7.477  1.013      1.0(  0.2)      4.8(  0.9)
   2+( 4)  8.490    2+( 2)  7.524  0.967      6.5(  1.3)      6.5(  1.3)
   2+( 4)  8.490    3+( 2)  8.039  0.451      0.7(  0.1)      0.5(  0.1)
   2+( 4)  8.490    2+( 3)  8.072  0.418     10.0(  2.0)     10.0(  2.0)
   2+( 4)  8.490    1+( 1)  8.430  0.060     14.6(  2.9)     24.3(  4.8)
   3+( 3)  8.690    2+( 1)  1.940  6.750      0.8(  0.1)      1.1(  0.2)
   3+( 3)  8.690    4+( 1)  4.548  4.142      2.1(  0.4)      1.6(  0.3)
   3+( 3)  8.690    3+( 1)  6.459  2.231      1.8(  0.4)      1.8(  0.4)
   3+( 3)  8.690    4+( 2)  7.068  1.622      1.3(  0.3)      1.0(  0.2)
   3+( 3)  8.690    2+( 2)  7.524  1.167      2.5(  0.5)      3.5(  0.7)
   3+( 3)  8.690    3+( 2)  8.039  0.651      0.6(  0.1)      0.6(  0.1)
   3+( 3)  8.690    2+( 3)  8.072  0.618      4.9(  1.0)      6.9(  1.4)
   3+( 3)  8.690    1+( 1)  8.430  0.260      1.3(  0.3)      3.0(  0.6)
   3+( 3)  8.690    2+( 4)  8.490  0.200     62.0( 12.3)     86.8( 17.2)
   2+( 5)  8.859    0+( 1)  0.000  8.860      0.0(  0.0)      0.1(  0.0)
   2+( 5)  8.859    2+( 1)  1.940  6.919      0.6(  0.1)      0.6(  0.1)
   2+( 5)  8.859    4+( 1)  4.548  4.311      2.7(  0.5)      1.5(  0.3)
   2+( 5)  8.859    0+( 2)  4.821  4.038     25.4(  5.0)    126.8( 25.1)
   2+( 5)  8.859    3+( 1)  6.459  2.400      5.6(  1.1)      4.0(  0.8)
   2+( 5)  8.859    4+( 2)  7.068  1.791      3.2(  0.6)      1.8(  0.4)
   2+( 5)  8.859    0+( 3)  7.477  1.382     40.6(  8.0)    203.1( 40.2)
   2+( 5)  8.859    2+( 2)  7.524  1.336     16.5(  3.3)     16.5(  3.3)
   2+( 5)  8.859    3+( 2)  8.039  0.820      0.1(  0.0)      0.1(  0.0)
   2+( 5)  8.859    2+( 3)  8.072  0.787     22.9(  4.5)     22.9(  4.5)
   2+( 5)  8.859    1+( 1)  8.430  0.429     12.2(  2.4)     20.3(  4.0)
   2+( 5)  8.859    2+( 4)  8.490  0.369     11.4(  2.3)     11.4(  2.3)
   2+( 5)  8.859    3+( 3)  8.690  0.169      5.3(  1.0)      3.8(  0.7)
   1+( 2)  9.048    2+( 1)  1.940  7.108      0.3(  0.1)      0.2(  0.0)
   1+( 2)  9.048    3+( 1)  6.459  2.589      0.7(  0.1)      0.3(  0.1)
   1+( 2)  9.048    2+( 2)  7.524  1.524      0.8(  0.2)      0.5(  0.1)
   1+( 2)  9.048    3+( 2)  8.039  1.009      0.4(  0.1)      0.2(  0.0)
   1+( 2)  9.048    2+( 3)  8.072  0.976      1.4(  0.3)      0.8(  0.2)
   1+( 2)  9.048    1+( 1)  8.430  0.618      0.4(  0.1)      0.4(  0.1)
   1+( 2)  9.048    2+( 4)  8.490  0.558      1.8(  0.4)      1.1(  0.2)
   1+( 2)  9.048    3+( 3)  8.690  0.358     34.5(  6.8)     14.8(  2.9)
   1+( 2)  9.048    2+( 5)  8.859  0.189      0.3(  0.1)      0.2(  0.0)
   5+( 1)  9.301    4+( 1)  4.548  4.753      7.2(  1.4)      8.8(  1.7)
   5+( 1)  9.301    3+( 1)  6.459  2.842      0.0(  0.0)      0.0(  0.0)
   5+( 1)  9.301    4+( 2)  7.068  2.233    107.5( 21.3)    131.4( 26.0)
   5+( 1)  9.301    3+( 2)  8.039  1.262     30.8(  6.1)     48.4(  9.6)
   5+( 1)  9.301    6+( 1)  8.395  0.906      0.7(  0.1)      0.6(  0.1)
   5+( 1)  9.301    3+( 3)  8.690  0.611      1.2(  0.2)      1.9(  0.4)
   4+( 3)  9.368    2+( 1)  1.940  7.428      0.6(  0.1)      1.0(  0.2)
   4+( 3)  9.368    4+( 1)  4.548  4.820      2.0(  0.4)      2.0(  0.4)
   4+( 3)  9.368    3+( 1)  6.459  2.909      1.3(  0.3)      1.7(  0.3)
   4+( 3)  9.368    4+( 2)  7.068  2.300     15.9(  3.1)     15.9(  3.1)
   4+( 3)  9.368    2+( 2)  7.524  1.845      1.4(  0.3)      2.6(  0.5)
   4+( 3)  9.368    3+( 2)  8.039  1.329     59.0( 11.7)     75.8( 15.0)
   4+( 3)  9.368    2+( 3)  8.072  1.296     77.0( 15.3)    138.6( 27.5)
   4+( 3)  9.368    6+( 1)  8.395  0.973      1.5(  0.3)      1.0(  0.2)
   4+( 3)  9.368    2+( 4)  8.490  0.878      7.2(  1.4)     13.0(  2.6)
   4+( 3)  9.368    3+( 3)  8.690  0.678      2.1(  0.4)      2.7(  0.5)
   4+( 3)  9.368    2+( 5)  8.859  0.509      0.4(  0.1)      0.8(  0.2)
   4+( 3)  9.368    5+( 1)  9.301  0.067      3.3(  0.7)      2.7(  0.5)
   3+( 4)  9.519    2+( 1)  1.940  7.579      0.0(  0.0)      0.0(  0.0)
   3+( 4)  9.519    4+( 1)  4.548  4.971      0.2(  0.0)      0.1(  0.0)
   3+( 4)  9.519    3+( 1)  6.459  3.060      1.4(  0.3)      1.4(  0.3)
   3+( 4)  9.519    4+( 2)  7.068  2.451      1.1(  0.2)      0.9(  0.2)
   3+( 4)  9.519    2+( 2)  7.524  1.996      0.2(  0.0)      0.2(  0.0)
   3+( 4)  9.519    3+( 2)  8.039  1.480      0.0(  0.0)      0.0(  0.0)
   3+( 4)  9.519    2+( 3)  8.072  1.447      0.2(  0.0)      0.3(  0.1)
   3+( 4)  9.519    1+( 1)  8.430  1.089      0.2(  0.0)      0.4(  0.1)
   3+( 4)  9.519    2+( 4)  8.490  1.029      0.1(  0.0)      0.2(  0.0)
   3+( 4)  9.519    3+( 3)  8.690  0.829      0.0(  0.0)      0.0(  0.0)
   3+( 4)  9.519    2+( 5)  8.859  0.660      0.0(  0.0)      0.0(  0.0)
   3+( 4)  9.519    1+( 2)  9.048  0.471      0.0(  0.0)      0.0(  0.0)
   3+( 4)  9.519    5+( 1)  9.301  0.218      0.4(  0.1)      0.2(  0.0)
   3+( 4)  9.519    4+( 3)  9.368  0.151      0.1(  0.0)      0.1(  0.0)
   2+( 6)  9.564    0+( 1)  0.000  9.564      0.7(  0.1)      3.3(  0.7)
   2+( 6)  9.564    2+( 1)  1.940  7.624      0.3(  0.1)      0.3(  0.1)
   2+( 6)  9.564    4+( 1)  4.548  5.015      0.2(  0.0)      0.1(  0.0)
   2+( 6)  9.564    0+( 2)  4.821  4.742      0.3(  0.1)      1.5(  0.3)
   2+( 6)  9.564    3+( 1)  6.459  3.104      0.0(  0.0)      0.0(  0.0)
   2+( 6)  9.564    4+( 2)  7.068  2.495      0.4(  0.1)      0.2(  0.0)
   2+( 6)  9.564    0+( 3)  7.477  2.086      0.0(  0.0)      0.0(  0.0)
   2+( 6)  9.564    2+( 2)  7.524  2.040      0.4(  0.1)      0.4(  0.1)
   2+( 6)  9.564    3+( 2)  8.039  1.525      0.0(  0.0)      0.0(  0.0)
   2+( 6)  9.564    2+( 3)  8.072  1.492      0.0(  0.0)      0.0(  0.0)
   2+( 6)  9.564    1+( 1)  8.430  1.134      0.0(  0.0)      0.0(  0.0)
   2+( 6)  9.564    2+( 4)  8.490  1.073      1.1(  0.2)      1.1(  0.2)
   2+( 6)  9.564    3+( 3)  8.690  0.874      1.6(  0.3)      1.1(  0.2)
   2+( 6)  9.564    2+( 5)  8.859  0.704      0.0(  0.0)      0.0(  0.0)
   2+( 6)  9.564    1+( 2)  9.048  0.516      0.0(  0.0)      0.0(  0.0)
   2+( 6)  9.564    4+( 3)  9.368  0.195      0.0(  0.0)      0.0(  0.0)
   2+( 6)  9.564    3+( 4)  9.519  0.044     11.1(  2.2)      7.9(  1.6)
   0+( 4)  9.649    2+( 1)  1.940  7.709      4.8(  0.9)      1.0(  0.2)
   0+( 4)  9.649    2+( 2)  7.524  2.126      0.3(  0.1)      0.1(  0.0)
   0+( 4)  9.649    2+( 3)  8.072  1.578      0.0(  0.0)      0.0(  0.0)
   0+( 4)  9.649    2+( 4)  8.490  1.159     70.7( 14.0)     14.1(  2.8)
   0+( 4)  9.649    2+( 5)  8.859  0.790      0.1(  0.0)      0.0(  0.0)
   0+( 4)  9.649    2+( 6)  9.564  0.086      0.0(  0.0)      0.0(  0.0)
   2+( 7)  9.786    0+( 1)  0.000  9.786      0.5(  0.1)      2.4(  0.5)
   2+( 7)  9.786    2+( 1)  1.940  7.846      0.2(  0.0)      0.2(  0.0)
   2+( 7)  9.786    4+( 1)  4.548  5.237      1.7(  0.3)      0.9(  0.2)
   2+( 7)  9.786    0+( 2)  4.821  4.965      4.0(  0.8)     19.8(  3.9)
   2+( 7)  9.786    3+( 1)  6.459  3.327      0.2(  0.0)      0.1(  0.0)
   2+( 7)  9.786    4+( 2)  7.068  2.718      1.0(  0.2)      0.5(  0.1)
   2+( 7)  9.786    0+( 3)  7.477  2.309      1.4(  0.3)      7.2(  1.4)
   2+( 7)  9.786    2+( 2)  7.524  2.262     33.5(  6.6)     33.5(  6.6)
   2+( 7)  9.786    3+( 2)  8.039  1.747      0.1(  0.0)      0.0(  0.0)
   2+( 7)  9.786    2+( 3)  8.072  1.714      7.8(  1.5)      7.8(  1.5)
   2+( 7)  9.786    1+( 1)  8.430  1.356     47.3(  9.4)     78.9( 15.6)
   2+( 7)  9.786    2+( 4)  8.490  1.296     16.3(  3.2)     16.3(  3.2)
   2+( 7)  9.786    3+( 3)  8.690  1.096      9.1(  1.8)      6.5(  1.3)
   2+( 7)  9.786    2+( 5)  8.859  0.926      7.0(  1.4)      7.0(  1.4)
   2+( 7)  9.786    1+( 2)  9.048  0.738      0.6(  0.1)      1.1(  0.2)
   2+( 7)  9.786    4+( 3)  9.368  0.418     15.0(  3.0)      8.3(  1.6)
   2+( 7)  9.786    3+( 4)  9.519  0.267      0.0(  0.0)      0.0(  0.0)
   2+( 7)  9.786    2+( 6)  9.564  0.222      0.0(  0.0)      0.0(  0.0)
   2+( 7)  9.786    0+( 4)  9.649  0.136     16.3(  3.2)     81.5( 16.1)
   4+( 4) 10.064    2+( 1)  1.940  8.124      0.0(  0.0)      0.0(  0.0)
   4+( 4) 10.064    4+( 1)  4.548  5.515      1.2(  0.2)      1.2(  0.2)
   4+( 4) 10.064    3+( 1)  6.459  3.605      0.0(  0.0)      0.1(  0.0)
   4+( 4) 10.064    4+( 2)  7.068  2.996      8.8(  1.7)      8.8(  1.7)
   4+( 4) 10.064    2+( 2)  7.524  2.540     54.2( 10.7)     97.5( 19.3)
   4+( 4) 10.064    3+( 2)  8.039  2.025     24.5(  4.9)     31.5(  6.2)
   4+( 4) 10.064    2+( 3)  8.072  1.992      7.9(  1.6)     14.2(  2.8)
   4+( 4) 10.064    6+( 1)  8.395  1.669      0.7(  0.1)      0.5(  0.1)
   4+( 4) 10.064    2+( 4)  8.490  1.574      8.9(  1.8)     16.0(  3.2)
   4+( 4) 10.064    3+( 3)  8.690  1.374      0.1(  0.0)      0.1(  0.0)
   4+( 4) 10.064    2+( 5)  8.859  1.204     26.5(  5.2)     47.7(  9.4)
   4+( 4) 10.064    5+( 1)  9.301  0.762      8.2(  1.6)      6.7(  1.3)
   4+( 4) 10.064    4+( 3)  9.368  0.696     14.5(  2.9)     14.5(  2.9)
   4+( 4) 10.064    3+( 4)  9.519  0.544      0.0(  0.0)      0.0(  0.0)
   4+( 4) 10.064    2+( 6)  9.564  0.500      0.0(  0.0)      0.0(  0.0)
   4+( 4) 10.064    2+( 7)  9.786  0.278     11.0(  2.2)     19.9(  3.9)
   5+( 2) 10.424    4+( 1)  4.548  5.876      0.1(  0.0)      0.1(  0.0)
   5+( 2) 10.424    3+( 1)  6.459  3.965     22.8(  4.5)     35.8(  7.1)
   5+( 2) 10.424    4+( 2)  7.068  3.356      1.8(  0.4)      2.2(  0.4)
   5+( 2) 10.424    3+( 2)  8.039  2.385     10.7(  2.1)     16.8(  3.3)
   5+( 2) 10.424    6+( 1)  8.395  2.029      0.0(  0.0)      0.0(  0.0)
   5+( 2) 10.424    3+( 3)  8.690  1.734      2.6(  0.5)      4.1(  0.8)
   5+( 2) 10.424    5+( 1)  9.301  1.123      9.7(  1.9)      9.7(  1.9)
   5+( 2) 10.424    4+( 3)  9.368  1.056      1.1(  0.2)      1.3(  0.3)
   5+( 2) 10.424    3+( 4)  9.519  0.905      1.7(  0.3)      2.7(  0.5)
   5+( 2) 10.424    4+( 4) 10.064  0.360      0.9(  0.2)      1.1(  0.2)
   3+( 5) 10.520    2+( 1)  1.940  8.580      0.0(  0.0)      0.0(  0.0)
   3+( 5) 10.520    4+( 1)  4.548  5.972      0.4(  0.1)      0.3(  0.1)
   3+( 5) 10.520    3+( 1)  6.459  4.061      0.5(  0.1)      0.5(  0.1)
   3+( 5) 10.520    4+( 2)  7.068  3.452      0.3(  0.1)      0.3(  0.1)
   3+( 5) 10.520    2+( 2)  7.524  2.997      0.1(  0.0)      0.1(  0.0)
   3+( 5) 10.520    3+( 2)  8.039  2.481      0.0(  0.0)      0.0(  0.0)
   3+( 5) 10.520    2+( 3)  8.072  2.448      0.0(  0.0)      0.0(  0.0)
   3+( 5) 10.520    1+( 1)  8.430  2.090      0.1(  0.0)      0.2(  0.0)
   3+( 5) 10.520    2+( 4)  8.490  2.030      0.8(  0.2)      1.1(  0.2)
   3+( 5) 10.520    3+( 3)  8.690  1.830      0.0(  0.0)      0.0(  0.0)
   3+( 5) 10.520    2+( 5)  8.859  1.661      0.3(  0.1)      0.4(  0.1)
   3+( 5) 10.520    1+( 2)  9.048  1.472      0.0(  0.0)      0.0(  0.0)
   3+( 5) 10.520    5+( 1)  9.301  1.219      0.5(  0.1)      0.3(  0.1)
   3+( 5) 10.520    4+( 3)  9.368  1.152      0.1(  0.0)      0.1(  0.0)
   3+( 5) 10.520    3+( 4)  9.519  1.001      8.1(  1.6)      8.1(  1.6)
   3+( 5) 10.520    2+( 6)  9.564  0.957     61.0( 12.1)     85.5( 16.9)
   3+( 5) 10.520    2+( 7)  9.786  0.734      0.1(  0.0)      0.1(  0.0)
   3+( 5) 10.520    4+( 4) 10.064  0.456      0.0(  0.0)      0.0(  0.0)
   3+( 5) 10.520    5+( 2) 10.424  0.096      0.1(  0.0)      0.1(  0.0)
   0+( 5) 10.535    2+( 1)  1.940  8.595      0.5(  0.1)      0.1(  0.0)
   0+( 5) 10.535    2+( 2)  7.524  3.011      0.5(  0.1)      0.1(  0.0)
   0+( 5) 10.535    2+( 3)  8.072  2.463      1.7(  0.3)      0.3(  0.1)
   0+( 5) 10.535    2+( 4)  8.490  2.045      0.7(  0.1)      0.1(  0.0)
   0+( 5) 10.535    2+( 5)  8.859  1.676      0.2(  0.0)      0.0(  0.0)
   0+( 5) 10.535    2+( 6)  9.564  0.971     37.2(  7.4)      7.4(  1.5)
   0+( 5) 10.535    2+( 7)  9.786  0.749      2.6(  0.5)      0.5(  0.1)
   3+( 6) 10.642    2+( 1)  1.940  8.702      0.4(  0.1)      0.6(  0.1)
   3+( 6) 10.642    4+( 1)  4.548  6.093      0.9(  0.2)      0.7(  0.1)
   3+( 6) 10.642    3+( 1)  6.459  4.182      3.0(  0.6)      3.0(  0.6)
   3+( 6) 10.642    4+( 2)  7.068  3.573      2.3(  0.4)      1.8(  0.3)
   3+( 6) 10.642    2+( 2)  7.524  3.118     12.4(  2.4)     17.3(  3.4)
   3+( 6) 10.642    3+( 2)  8.039  2.603     14.6(  2.9)     14.6(  2.9)
   3+( 6) 10.642    2+( 3)  8.072  2.570      7.2(  1.4)     10.1(  2.0)
   3+( 6) 10.642    1+( 1)  8.430  2.212      0.2(  0.0)      0.6(  0.1)
   3+( 6) 10.642    2+( 4)  8.490  2.151      2.9(  0.6)      4.1(  0.8)
   3+( 6) 10.642    3+( 3)  8.690  1.952      0.0(  0.0)      0.0(  0.0)
   3+( 6) 10.642    2+( 5)  8.859  1.782      0.7(  0.1)      1.0(  0.2)
   3+( 6) 10.642    1+( 2)  9.048  1.594      0.0(  0.0)      0.1(  0.0)
   3+( 6) 10.642    5+( 1)  9.301  1.340      1.7(  0.3)      1.1(  0.2)
   3+( 6) 10.642    4+( 3)  9.368  1.273      0.0(  0.0)      0.0(  0.0)
   3+( 6) 10.642    3+( 4)  9.519  1.122      0.3(  0.1)      0.3(  0.1)
   3+( 6) 10.642    2+( 6)  9.564  1.078      0.0(  0.0)      0.0(  0.0)
   3+( 6) 10.642    2+( 7)  9.786  0.856     14.7(  2.9)     20.5(  4.1)
   3+( 6) 10.642    4+( 4) 10.064  0.578      7.7(  1.5)      6.0(  1.2)
   3+( 6) 10.642    5+( 2) 10.424  0.217      0.1(  0.0)      0.0(  0.0)
   3+( 6) 10.642    3+( 5) 10.520  0.121      0.2(  0.0)      0.2(  0.0)
   2+( 8) 10.693    0+( 1)  0.000 10.693      0.1(  0.0)      0.6(  0.1)
   2+( 8) 10.693    2+( 1)  1.940  8.753      2.5(  0.5)      2.5(  0.5)
   2+( 8) 10.693    4+( 1)  4.548  6.144      0.1(  0.0)      0.0(  0.0)
   2+( 8) 10.693    0+( 2)  4.821  5.871      2.0(  0.4)     10.0(  2.0)
   2+( 8) 10.693    3+( 1)  6.459  4.233      0.1(  0.0)      0.1(  0.0)
   2+( 8) 10.693    4+( 2)  7.068  3.624      0.5(  0.1)      0.3(  0.1)
   2+( 8) 10.693    0+( 3)  7.477  3.215      2.6(  0.5)     13.0(  2.6)
   2+( 8) 10.693    2+( 2)  7.524  3.169      0.8(  0.2)      0.8(  0.2)
   2+( 8) 10.693    3+( 2)  8.039  2.653      0.7(  0.1)      0.5(  0.1)
   2+( 8) 10.693    2+( 3)  8.072  2.621      0.9(  0.2)      0.9(  0.2)
   2+( 8) 10.693    1+( 1)  8.430  2.262      3.3(  0.6)      5.4(  1.1)
   2+( 8) 10.693    2+( 4)  8.490  2.202     13.2(  2.6)     13.2(  2.6)
